step	NumberAccept	NumberReject
0	0	0
100	82	18
200	161	39
300	242	58
400	317	83
500	397	103
600	469	131
700	540	160
800	610	190
900	694	206
1000	765	235
1100	845	255
1200	923	277
1300	996	304
1400	1071	329
1500	1138	362
1600	1201	399
1700	1276	424
1800	1347	453
1900	1417	483
2000	1494	506
2100	1568	532
2200	1640	560
2300	1711	589
2400	1774	626
2500	1847	653
2600	1916	684
2700	1983	717
2800	2043	757
2900	2115	785
3000	2180	820
3100	2248	852
3200	2320	880
3300	2399	901
3400	2470	930
3500	2541	959
3600	2610	990
3700	2676	1024
3800	2743	1057
3900	2809	1091
4000	2879	1121
4100	2944	1156
4200	3012	1188
4300	3083	1217
4400	3153	1247
4500	3228	1272
4600	3298	1302
4700	3376	1324
4800	3455	1345
4900	3528	1372
5000	3604	1396
5100	3676	1424
5200	3746	1454
5300	3824	1476
5400	3896	1504
5500	3981	1519
5600	4051	1549
5700	4133	1567
5800	4210	1590
5900	4286	1614
6000	4364	1636
6100	4434	1666
6200	4511	1689
6300	4585	1715
6400	4657	1743
6500	4729	1771
6600	4796	1804
6700	4881	1819
6800	4952	1848
6900	5019	1881
7000	5089	1911
7100	5162	1938
7200	5233	1967
7300	5302	1998
7400	5379	2021
7500	5440	2060
7600	5514	2086
7700	5588	2112
7800	5662	2138
7900	5728	2172
8000	5801	2199
8100	5870	2230
8200	5946	2254
8300	6016	2284
8400	6089	2311
8500	6166	2334
8600	6237	2363
8700	6303	2397
8800	6365	2435
8900	6436	2464
9000	6511	2489
9100	6589	2511
9200	6662	2538
9300	6728	2572
9400	6797	2603
9500	6866	2634
9600	6939	2661
9700	7000	2700
9800	7070	2730
9900	7137	2763
10000	7208	2792
10100	7279	2821
10200	7349	2851
10300	7412	2888
10400	7484	2916
10500	7562	2938
10600	7630	2970
10700	7703	2997
10800	7777	3023
10900	7846	3054
11000	7914	3086
11100	7984	3116
11200	8049	3151
11300	8115	3185
11400	8183	3217
11500	8259	3241
11600	8317	3283
11700	8391	3309
11800	8455	3345
11900	8537	3363
12000	8609	3391
12100	8682	3418
12200	8751	3449
12300	8820	3480
12400	8902	3498
12500	8976	3524
12600	9057	3543
12700	9125	3575
12800	9193	3607
12900	9268	3632
13000	9343	3657
13100	9413	3687
13200	9493	3707
13300	9571	3729
13400	9641	3759
13500	9711	3789
13600	9785	3815
13700	9853	3847
13800	9928	3872
13900	10004	3896
14000	10081	3919
14100	10159	3941
14200	10238	3962
14300	10310	3990
14400	10383	4017
14500	10450	4050
14600	10521	4079
14700	10599	4101
14800	10669	4131
14900	10736	4164
15000	10800	4200
15100	10875	4225
15200	10948	4252
15300	11018	4282
15400	11094	4306
15500	11173	4327
15600	11236	4364
15700	11308	4392
15800	11386	4414
15900	11464	4436
16000	11542	4458
16100	11618	4482
16200	11693	4507
16300	11762	4538
16400	11829	4571
16500	11901	4599
16600	11980	4620
16700	12052	4648
16800	12127	4673
16900	12197	4703
17000	12263	4737
17100	12335	4765
17200	12407	4793
17300	12481	4819
17400	12555	4845
17500	12625	4875
17600	12695	4905
17700	12775	4925
17800	12854	4946
17900	12930	4970
18000	13009	4991
18100	13081	5019
18200	13163	5037
18300	13231	5069
18400	13298	5102
18500	13375	5125
18600	13448	5152
18700	13523	5177
18800	13601	5199
18900	13670	5230
19000	13742	5258
19100	13818	5282
19200	13889	5311
19300	13963	5337
19400	14034	5366
19500	14105	5395
19600	14178	5422
19700	14245	5455
19800	14324	5476
19900	14400	5500
20000	14473	5527
20100	14548	5552
20200	14623	5577
20300	14684	5616
20400	14754	5646
20500	14824	5676
20600	14901	5699
20700	14974	5726
20800	15044	5756
20900	15108	5792
21000	15176	5824
21100	15250	5850
21200	15322	5878
21300	15388	5912
21400	15450	5950
21500	15521	5979
21600	15596	6004
21700	15662	6038
21800	15731	6069
21900	15792	6108
22000	15860	6140
22100	15930	6170
22200	16001	6199
22300	16075	6225
22400	16141	6259
22500	16208	6292
22600	16284	6316
22700	16356	6344
22800	16422	6378
22900	16494	6406
23000	16572	6428
23100	16649	6451
23200	16719	6481
23300	16791	6509
23400	16864	6536
23500	16937	6563
23600	17021	6579
23700	17090	6610
23800	17157	6643
23900	17229	6671
24000	17299	6701
24100	17373	6727
24200	17446	6754
24300	17510	6790
24400	17582	6818
24500	17652	6848
24600	17731	6869
24700	17804	6896
24800	17883	6917
24900	17961	6939
25000	18037	6963
25100	18115	6985
25200	18190	7010
25300	18267	7033
25400	18344	7056
25500	18416	7084
25600	18490	7110
25700	18554	7146
25800	18627	7173
25900	18701	7199
26000	18775	7225
26100	18855	7245
26200	18922	7278
26300	18993	7307
26400	19064	7336
26500	19133	7367
26600	19208	7392
26700	19273	7427
26800	19338	7462
26900	19410	7490
27000	19479	7521
27100	19552	7548
27200	19626	7574
27300	19696	7604
27400	19770	7630
27500	19843	7657
27600	19903	7697
27700	19975	7725
27800	20042	7758
27900	20113	7787
28000	20185	7815
28100	20258	7842
28200	20326	7874
28300	20392	7908
28400	20457	7943
28500	20529	7971
28600	20609	7991
28700	20686	8014
28800	20757	8043
28900	20824	8076
29000	20896	8104
29100	20968	8132
29200	21041	8159
29300	21115	8185
29400	21185	8215
29500	21256	8244
29600	21325	8275
29700	21394	8306
29800	21460	8340
29900	21538	8362
30000	21608	8392
30100	21685	8415
30200	21758	8442
30300	21832	8468
30400	21904	8496
30500	21976	8524
30600	22050	8550
30700	22117	8583
30800	22187	8613
30900	22261	8639
31000	22335	8665
31100	22406	8694
31200	22489	8711
31300	22568	8732
31400	22644	8756
31500	22719	8781
31600	22791	8809
31700	22867	8833
31800	22947	8853
31900	23018	8882
32000	23090	8910
32100	23155	8945
32200	23229	8971
32300	23308	8992
32400	23379	9021
32500	23449	9051
32600	23522	9078
32700	23592	9108
32800	23665	9135
32900	23727	9173
33000	23795	9205
33100	23862	9238
33200	23939	9261
33300	24007	9293
33400	24076	9324
33500	24155	9345
33600	24228	9372
33700	24303	9397
33800	24377	9423
33900	24451	9449
34000	24523	9477
34100	24592	9508
34200	24663	9537
34300	24725	9575
34400	24797	9603
34500	24872	9628
34600	24938	9662
34700	25010	9690
34800	25086	9714
34900	25159	9741
35000	25236	9764
35100	25307	9793
35200	25389	9811
35300	25465	9835
35400	25540	9860
35500	25605	9895
35600	25679	9921
35700	25746	9954
35800	25823	9977
35900	25899	10001
36000	25966	10034
36100	26041	10059
36200	26107	10093
36300	26174	10126
36400	26244	10156
36500	26325	10175
36600	26398	10202
36700	26470	10230
36800	26543	10257
36900	26618	10282
37000	26691	10309
37100	26760	10340
37200	26831	10369
37300	26905	10395
37400	26981	10419
37500	27051	10449
37600	27119	10481
37700	27187	10513
37800	27256	10544
37900	27335	10565
38000	27406	10594
38100	27476	10624
38200	27552	10648
38300	27619	10681
38400	27693	10707
38500	27772	10728
38600	27844	10756
38700	27907	10793
38800	27973	10827
38900	28052	10848
39000	28125	10875
39100	28195	10905
39200	28258	10942
39300	28324	10976
39400	28400	11000
39500	28464	11036
39600	28526	11074
39700	28603	11097
39800	28676	11124
39900	28743	11157
40000	28814	11186
40100	28882	11218
40200	28958	11242
40300	29028	11272
40400	29104	11296
40500	29179	11321
40600	29251	11349
40700	29325	11375
40800	29405	11395
40900	29478	11422
41000	29547	11453
41100	29622	11478
41200	29693	11507
41300	29767	11533
41400	29844	11556
41500	29914	11586
41600	29994	11606
41700	30065	11635
41800	30144	11656
41900	30213	11687
42000	30289	11711
42100	30361	11739
42200	30431	11769
42300	30512	11788
42400	30590	11810
42500	30657	11843
42600	30727	11873
42700	30805	11895
42800	30882	11918
42900	30953	11947
43000	31028	11972
43100	31102	11998
43200	31175	12025
43300	31256	12044
43400	31329	12071
43500	31394	12106
43600	31475	12125
43700	31543	12157
43800	31619	12181
43900	31688	12212
44000	31766	12234
44100	31835	12265
44200	31906	12294
44300	31979	12321
44400	32055	12345
44500	32124	12376
44600	32195	12405
44700	32272	12428
44800	32342	12458
44900	32422	12478
45000	32502	12498
45100	32571	12529
45200	32636	12564
45300	32708	12592
45400	32785	12615
45500	32854	12646
45600	32926	12674
45700	33001	12699
45800	33070	12730
45900	33144	12756
46000	33216	12784
46100	33288	12812
46200	33358	12842
46300	33428	12872
46400	33493	12907
46500	33567	12933
46600	33637	12963
46700	33704	12996
46800	33771	13029
46900	33842	13058
47000	33914	13086
47100	33994	13106
47200	34072	13128
47300	34145	13155
47400	34211	13189
47500	34284	13216
47600	34359	13241
47700	34430	13270
47800	34508	13292
47900	34577	13323
48000	34659	13341
48100	34736	13364
48200	34815	13385
48300	34887	13413
48400	34955	13445
48500	35031	13469
48600	35104	13496
48700	35178	13522
48800	35256	13544
48900	35327	13573
49000	35403	13597
49100	35467	13633
49200	35541	13659
49300	35616	13684
49400	35686	13714
49500	35763	13737
49600	35835	13765
49700	35905	13795
49800	35981	13819
49900	36048	13852
50000	36121	13879
50100	36189	13911
50200	36258	13942
50300	36336	13964
50400	36409	13991
50500	36481	14019
50600	36558	14042
50700	36637	14063
50800	36706	14094
50900	36778	14122
51000	36849	14151
51100	36913	14187
51200	36978	14222
51300	37049	14251
51400	37117	14283
51500	37182	14318
51600	37252	14348
51700	37314	14386
51800	37384	14416
51900	37454	14446
52000	37523	14477
52100	37596	14504
52200	37660	14540
52300	37727	14573
52400	37797	14603
52500	37865	14635
52600	37936	14664
52700	38012	14688
52800	38079	14721
52900	38147	14753
53000	38221	14779
53100	38289	14811
53200	38359	14841
53300	38429	14871
53400	38500	14900
53500	38571	14929
53600	38648	14952
53700	38724	14976
53800	38799	15001
53900	38866	15034
54000	38938	15062
54100	39005	15095
54200	39073	15127
54300	39145	15155
54400	39208	15192
54500	39277	15223
54600	39340	15260
54700	39418	15282
54800	39489	15311
54900	39557	15343
55000	39622	15378
55100	39679	15421
55200	39744	15456
55300	39816	15484
55400	39889	15511
55500	39959	15541
55600	40028	15572
55700	40100	15600
55800	40170	15630
55900	40249	15651
56000	40320	15680
56100	40395	15705
56200	40464	15736
56300	40532	15768
56400	40602	15798
56500	40683	15817
56600	40755	15845
56700	40820	15880
56800	40901	15899
56900	40969	15931
57000	41041	15959
57100	41110	15990
57200	41180	16020
57300	41247	16053
57400	41313	16087
57500	41389	16111
57600	41457	16143
57700	41526	16174
57800	41584	16216
57900	41656	16244
58000	41724	16276
58100	41799	16301
58200	41866	16334
58300	41940	16360
58400	42016	16384
58500	42081	16419
58600	42154	16446
58700	42229	16471
58800	42311	16489
58900	42390	16510
59000	42465	16535
59100	42536	16564
59200	42598	16602
59300	42675	16625
59400	42751	16649
59500	42821	16679
59600	42893	16707
59700	42970	16730
59800	43042	16758
59900	43118	16782
60000	43177	16823
60100	43255	16845
60200	43326	16874
60300	43388	16912
60400	43461	16939
60500	43532	16968
60600	43597	17003
60700	43664	17036
60800	43728	17072
60900	43789	17111
61000	43861	17139
61100	43936	17164
61200	44014	17186
61300	44090	17210
61400	44160	17240
61500	44234	17266
61600	44301	17299
61700	44368	17332
61800	44439	17361
61900	44507	17393
62000	44572	17428
62100	44639	17461
62200	44710	17490
62300	44778	17522
62400	44846	17554
62500	44914	17586
62600	44987	17613
62700	45056	17644
62800	45131	17669
62900	45212	17688
63000	45286	17714
63100	45362	17738
63200	45428	17772
63300	45495	17805
63400	45573	17827
63500	45648	17852
63600	45718	17882
63700	45785	17915
63800	45863	17937
63900	45937	17963
64000	46007	17993
64100	46069	18031
64200	46144	18056
64300	46216	18084
64400	46278	18122
64500	46350	18150
64600	46418	18182
64700	46487	18213
64800	46564	18236
64900	46640	18260
65000	46701	18299
65100	46774	18326
65200	46847	18353
65300	46923	18377
65400	46997	18403
65500	47066	18434
65600	47136	18464
65700	47204	18496
65800	47271	18529
65900	47336	18564
66000	47409	18591
66100	47479	18621
66200	47551	18649
66300	47623	18677
66400	47697	18703
66500	47772	18728
66600	47844	18756
66700	47913	18787
66800	47979	18821
66900	48050	18850
67000	48130	18870
67100	48195	18905
67200	48267	18933
67300	48337	18963
67400	48406	18994
67500	48475	19025
67600	48544	19056
67700	48614	19086
67800	48687	19113
67900	48757	19143
68000	48823	19177
68100	48887	19213
68200	48954	19246
68300	49021	19279
68400	49092	19308
68500	49163	19337
68600	49231	19369
68700	49296	19404
68800	49369	19431
68900	49447	19453
69000	49526	19474
69100	49587	19513
69200	49652	19548
69300	49727	19573
69400	49804	19596
69500	49878	19622
69600	49954	19646
69700	50025	19675
69800	50099	19701
69900	50179	19721
70000	50246	19754
70100	50318	19782
70200	50395	19805
70300	50467	19833
70400	50543	19857
70500	50618	19882
70600	50690	19910
70700	50767	19933
70800	50849	19951
70900	50928	19972
71000	51001	19999
71100	51076	20024
71200	51149	20051
71300	51224	20076
71400	51296	20104
71500	51369	20131
71600	51447	20153
71700	51519	20181
71800	51598	20202
71900	51672	20228
72000	51749	20251
72100	51822	20278
72200	51896	20304
72300	51970	20330
72400	52050	20350
72500	52122	20378
72600	52190	20410
72700	52256	20444
72800	52326	20474
72900	52386	20514
73000	52457	20543
73100	52520	20580
73200	52591	20609
73300	52659	20641
73400	52732	20668
73500	52807	20693
73600	52873	20727
73700	52936	20764
73800	53002	20798
73900	53074	20826
74000	53143	20857
74100	53210	20890
74200	53283	20917
74300	53345	20955
74400	53423	20977
74500	53497	21003
74600	53571	21029
74700	53640	21060
74800	53717	21083
74900	53790	21110
75000	53856	21144
75100	53923	21177
75200	53991	21209
75300	54061	21239
75400	54136	21264
75500	54212	21288
75600	54281	21319
75700	54352	21348
75800	54423	21377
75900	54489	21411
76000	54562	21438
76100	54638	21462
76200	54707	21493
76300	54780	21520
76400	54859	21541
76500	54942	21558
76600	55019	21581
76700	55090	21610
76800	55168	21632
76900	55238	21662
77000	55310	21690
77100	55385	21715
77200	55451	21749
77300	55533	21767
77400	55607	21793
77500	55683	21817
77600	55758	21842
77700	55827	21873
77800	55902	21898
77900	55970	21930
78000	56042	21958
78100	56119	21981
78200	56191	22009
78300	56259	22041
78400	56338	22062
78500	56408	22092
78600	56483	22117
78700	56560	22140
78800	56626	22174
78900	56700	22200
79000	56772	22228
79100	56846	22254
79200	56924	22276
79300	56993	22307
79400	57067	22333
79500	57142	22358
79600	57215	22385
79700	57281	22419
79800	57353	22447
79900	57430	22470
80000	57510	22490
80100	57580	22520
80200	57661	22539
80300	57732	22568
80400	57799	22601
80500	57868	22632
80600	57947	22653
80700	58015	22685
80800	58093	22707
80900	58166	22734
81000	58237	22763
81100	58297	22803
81200	58370	22830
81300	58444	22856
81400	58522	22878
81500	58590	22910
81600	58657	22943
81700	58729	22971
81800	58799	23001
81900	58873	23027
82000	58939	23061
82100	59006	23094
82200	59081	23119
82300	59137	23163
82400	59210	23190
82500	59279	23221
82600	59349	23251
82700	59426	23274
82800	59496	23304
82900	59565	23335
83000	59641	23359
83100	59721	23379
83200	59790	23410
83300	59855	23445
83400	59922	23478
83500	59996	23504
83600	60064	23536
83700	60137	23563
83800	60213	23587
83900	60291	23609
84000	60360	23640
84100	60425	23675
84200	60500	23700
84300	60574	23726
84400	60650	23750
84500	60724	23776
84600	60791	23809
84700	60854	23846
84800	60929	23871
84900	61001	23899
85000	61075	23925
85100	61143	23957
85200	61213	23987
85300	61285	24015
85400	61362	24038
85500	61438	24062
85600	61507	24093
85700	61575	24125
85800	61632	24168
85900	61707	24193
86000	61778	24222
86100	61855	24245
86200	61929	24271
86300	61999	24301
86400	62068	24332
86500	62140	24360
86600	62220	24380
86700	62290	24410
86800	62368	24432
86900	62440	24460
87000	62495	24505
87100	62574	24526
87200	62640	24560
87300	62713	24587
87400	62778	24622
87500	62842	24658
87600	62909	24691
87700	62974	24726
87800	63047	24753
87900	63106	24794
88000	63183	24817
88100	63254	24846
88200	63315	24885
88300	63375	24925
88400	63444	24956
88500	63522	24978
88600	63591	25009
88700	63673	25027
88800	63742	25058
88900	63813	25087
89000	63887	25113
89100	63955	25145
89200	64028	25172
89300	64102	25198
89400	64172	25228
89500	64248	25252
89600	64324	25276
89700	64392	25308
89800	64449	25351
89900	64524	25376
90000	64597	25403
90100	64671	25429
90200	64745	25455
90300	64825	25475
90400	64897	25503
90500	64974	25526
90600	65041	25559
90700	65109	25591
90800	65172	25628
90900	65239	25661
91000	65317	25683
91100	65392	25708
91200	65467	25733
91300	65533	25767
91400	65605	25795
91500	65672	25828
91600	65739	25861
91700	65813	25887
91800	65884	25916
91900	65953	25947
92000	66026	25974
92100	66104	25996
92200	66180	26020
